id,cppcheck_hit,flawfinder_hit,status
224728,1,0,cpp_only
224862,1,0,cpp_only
224891,1,0,cpp_only
224964,1,0,cpp_only
225062,1,1,both
225086,1,0,cpp_only
225125,1,0,cpp_only
225383,1,0,cpp_only
225473,1,0,cpp_only
225547,1,0,cpp_only
225552,1,0,cpp_only
225563,1,0,cpp_only
225566,1,1,both
226029,1,0,cpp_only
226433,1,0,cpp_only
227022,1,1,both
228563,1,1,both
229165,1,0,cpp_only
229337,1,0,cpp_only
230302,1,1,both
230394,0,0,none
231012,1,0,cpp_only
231048,1,0,cpp_only
231710,1,0,cpp_only
